polarity,topic,person,mean,stderr
affirmative,programming and technology,first,3.0,0.42163702135578385
negative,programming and technology,first,2.7,0.47258156262526085
affirmative,programming and technology,third,2.3,0.3958114029012639
negative,programming and technology,third,2.8,0.4666666666666666
affirmative,writing & literature,first,3.0,0.3333333333333333
negative,writing & literature,first,2.5,0.16666666666666666
affirmative,writing & literature,third,2.3,0.21343747458109494
negative,writing & literature,third,2.5,0.47726070210921173
affirmative,film & theatre,first,2.0,0.21081851067789192
negative,film & theatre,first,2.9,0.1795054935711501
affirmative,film & theatre,third,2.0,0.21081851067789192
negative,film & theatre,third,3.7,0.5587684871413402
affirmative,language & translation,first,2.0,0.21081851067789192
negative,language & translation,first,3.1,0.43333333333333335
affirmative,language & translation,third,1.4,0.16329931618554522
negative,language & translation,third,2.6,0.4760952285695233
affirmative,art & culture,first,3.4,0.33993463423951903
negative,art & culture,first,2.1,0.09999999999999999
affirmative,art & culture,third,2.8,0.41633319989322654
negative,art & culture,third,1.9,0.2333333333333333
affirmative,music & pop-culture,first,2.5,0.22360679774997896
negative,music & pop-culture,first,3.0,0.2981423969999719
affirmative,music & pop-culture,third,1.9,0.31446603773522014
negative,music & pop-culture,third,2.8,0.5333333333333333
affirmative,lifestyle & self-improvement,first,2.5,0.16666666666666666
negative,lifestyle & self-improvement,first,2.5,0.16666666666666666
affirmative,lifestyle & self-improvement,third,2.0,0.2981423969999719
negative,lifestyle & self-improvement,third,1.8,0.24944382578492943
affirmative,environment & sustainability,first,3.2,0.3590109871423002
negative,environment & sustainability,first,2.8,0.13333333333333333
affirmative,environment & sustainability,third,2.5,0.30731814857642953
negative,environment & sustainability,third,2.0,0.21081851067789192
affirmative,governance & politics,first,3.1,0.27688746209726917
negative,governance & politics,first,2.9,0.09999999999999999
affirmative,governance & politics,third,2.0,0.2581988897471611
negative,governance & politics,third,2.3,0.21343747458109494
affirmative,spirituality & religion,first,2.9,0.1795054935711501
negative,spirituality & religion,first,2.8,0.13333333333333333
affirmative,spirituality & religion,third,2.1,0.31446603773522014
negative,spirituality & religion,third,2.4,0.33993463423951903
affirmative,cognitive & behavioural sciences,first,2.5,0.22360679774997896
negative,cognitive & behavioural sciences,first,2.2,0.24944382578492943
affirmative,cognitive & behavioural sciences,third,1.9,0.31446603773522014
negative,cognitive & behavioural sciences,third,2.0,0.14907119849998596
affirmative,cooking & baking,first,2.5,0.37267799624996495
negative,cooking & baking,first,2.9,0.2333333333333333
affirmative,cooking & baking,third,1.9,0.348010216963685
negative,cooking & baking,third,1.7,0.2603416558635551
